Crops,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sugarcane,"189,375.00","171,569.00","160,992.69","184,282.00","137,159.00","86,650.33","68,550.44","69,923.54","73,678.90"
Corn,"58,157.00","60,487.00","62,360.00","60,805.00","64,618.00","71,217.70","66,448.10","70,377.80","69,883.36"
Cassava,"9,757.00","9,810.00","9,665.00","10,102.82","10,582.51","11,105.06","11,551.67","12,268.37","12,903.18"
