Crops,2014,2015,2016,2017,2018,2019,2020,2021,2022
Banana,"18,975.20","20,232.04","19,691.45","20,084.40","20,011.35","20,257.41","19,408.38","18,386.86","18,952.72"
Sitao,"17,983.00","18,390.00","18,157.00","18,500.00","18,707.00","17,769.06","15,734.02","14,942.38","14,696.84"
Mango,"8,675.00","8,794.00","8,659.00","9,011.00","8,913.75","9,217.92","7,863.50","7,152.66","7,692.32"
