Crops,2014,2015,2016,2017,2018,2019,2020,2021,2022
Corn,"7,391.00","9,555.00","8,380.00","7,424.00","6,991.00","6,931.07","6,883.66","6,637.75","6,647.92"
Cashew,"4,626.00","4,730.00","4,750.00","4,765.57","4,959.90","4,824.23","4,765.04","3,858.94","4,098.56"
Coconut,"3,391.80","3,622.00","3,665.20","3,610.55","3,691.00","3,880.43","3,652.58","3,828.44","4,269.47"
