Crops,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mango,"21,514.17","23,851.93","18,114.27","13,779.04","12,944.22","12,041.53","16,838.74","19,686.71","18,919.18"
Cogon,"12,000.00","10,658.83","11,880.59","11,490.69","10,718.08","10,091.29","9,934.87","9,590.35","10,799.00"
Banana,"9,452.46","8,991.00","8,838.44","8,985.19","9,212.05","10,688.00","11,961.96","12,602.31","13,893.92"
